tweet_id,user_id,user_name,followers_count,friends_count,user_location,text,retweet_count
704818861997211649,3146191365,YoungPros4Rubio,1475,1539,USA,RT @MichaelRinker: #NeverTrump #Rubio2016 @marcorubio #SuperTuesday https://t.co/ovB88l99ku,0
704818861703602176,3268453153,Political Bread,60,205,Israel,"RT @CNNPolitics: #Breaking: CNN projects @HillaryClinton wins Virginia, Georgia; @BernieSanders wins Vermont https://t.co/DkPyle0Wrv https:…",0
704818861879656451,3005365862,Gary Blocker,2675,2407,"Texas, USA",RT @ChrisLoesch: Lord help us. That's the dumbest group of people on the planet. https://t.co/ZPjLncfiIy,0
704818861976125440,2374469136,Luc Matte,1570,1181,None,"Hillary gagne deux états (Georgie, Virginie), Sanders gagne le Vermont (sans surprise) selon CNN #SuperTuesday",0
704818862177525761,1973411634,Bat,318,118,GCC or what left of it!,RT @GmoneyRainmaker: Media is in the tank for the #GOP Establishment &amp; Pundits have no clue on how to handle @realDonaldTrump so exciting 2…,0
704818862210953216,424621873,Jan Gulliver,274,444,None,RT @GeorgeBludger: [Trump is] no ordinary con man. He's way above average — and the American political system is his easiest mark ever http…,0
704818862269833216,169242768,Gianfranco,1417,1443,France,RT @cnnbrk: CNN projects: @HillaryClinton wins Georgia and Virginia. @BernieSanders wins Vermont. https://t.co/nAz9i6Qi1d,0
704818862320193536,754416690,deLIBERnATION,1205,2024,"Metro West Boston, MA",NBC projects Trump winner of #GOP Primary Hillary Clinton wins Dem Primary #SuperTuesday,0
704818862332768256,113402086,aieaouie,248,2050,None,RT @SixBitProxyWax: Why is the mainstream media afraid to ask Ted Cruz about being the zodiac killer? Have they known all along? #ZodiacTed,0
704818862567587840,199636296,Race4President,88,1,Bookmarks & Following-on-Mute,RT @nealgoswami: The room is filling for the @BernieSanders Super Tuesday rally at the Champlain Valley Expo #vtpoli #Bernie2016 https://t.…,0
704818862693421061,393619151,herewegokids,1045,288,"Kansas, USA","RT @NewDay: I don't think we left the GOP, I think the Republican Party left us, @realDonaldTrump  supporter says #SuperTuesday https://t.c…",0
704818862773157889,319777109,lovescolin,255,401,None,RT @Mansstory2: Actions speak louder than campaign adds Here is a list of Charities Donald Trump has contributed to.  #DTmag https://t.co/8…,0
704818863112716288,3080620972,Ms. Arachne,19,55,None,RT @PPact: Bottom line: @realDonaldTrump is #NotMyCandidate &amp; we’ll do everything we can to ensure he doesn’t make it to the White House. #…,0
704818862957707264,33278078,Franklin J Wallbrown,158,308,None,"RT @SarahBethWood: I voted for Bernie, who are you voting for today? #SuperTuesday https://t.co/Z5sI81eXFN",0
